['Learning Python: From Zero to\xa0Hero'],['How to build your own Neural Network from scratch in\xa0Python'],['What exactly can you do with Python? Here are Python’s 3 main applications.'],['An A-Z of useful Python\xa0tricks'],['Why Python is not the programming language of the\xa0future'],['The Next Level of Data Visualization in\xa0Python'],['Bye-bye Python. Hello\xa0Julia!'],['A Complete Machine Learning Walk-Through in Python: Part\xa0One'],['Building a Simple Chatbot from Scratch in Python (using\xa0NLTK)'],['Turn Python Scripts into Beautiful ML\xa0Tools']
['TK'],['James Loy'],['YK Sugi'],['Peter Gleeson'],['Rhea Moutafis'],['Will Koehrsen'],['Rhea Moutafis'],['Will Koehrsen'],['Parul Pandey'],['Adrien Treuille']
['freeCodeCamp.org'],['Towards Data Science'],['Towards Data Science'],['freeCodeCamp.org'],['Towards Data Science'],['Towards Data Science'],['Towards Data Science'],['Towards Data Science'],['Analytics Vidhya'],['Towards Data Science']
"['Sep 30, 2017']","['May 14, 2018']","['Jun 14, 2018']","['Aug 28, 2018']","['Mar 31, 2020']","['Jan 8, 2019']","['May 1, 2020']","['May 16, 2018']","['Sep 16, 2018']","['Oct 1, 2019']"
['https://medium.com/free-code-camp/learning-python-from-zero-to-hero-120ea540b567?source=search_post---------0'],['https://towardsdatascience.com/how-to-build-your-own-neural-network-from-scratch-in-python-68998a08e4f6?source=search_post---------1'],['https://towardsdatascience.com/what-can-you-do-with-python-the-3-main-applications-518db9a68a78?source=search_post---------2'],['https://medium.com/free-code-camp/an-a-z-of-useful-python-tricks-b467524ee747?source=search_post---------3'],['https://towardsdatascience.com/why-python-is-not-the-programming-language-of-the-future-30ddc5339b66?source=search_post---------4'],['https://towardsdatascience.com/the-next-level-of-data-visualization-in-python-dd6e99039d5e?source=search_post---------5'],['https://towardsdatascience.com/bye-bye-python-hello-julia-9230bff0df62?source=search_post---------6'],['https://towardsdatascience.com/a-complete-machine-learning-walk-through-in-python-part-one-c62152f39420?source=search_post---------7'],['https://medium.com/analytics-vidhya/building-a-simple-chatbot-in-python-using-nltk-7c8c8215ac6e?source=search_post---------8'],['https://towardsdatascience.com/coding-ml-tools-like-you-code-ml-models-ddba3357eace?source=search_post---------9']
['11 min read'],['7 min read'],['10 min read'],['9 min read'],['7 min read'],['8 min read'],['8 min read'],['15 min read'],['11 min read'],['7 min read']
